subject,targetphrase,initial_response,correct_words_initial,trial,target_number,rel_response,correct_words_rel,rep_acc,rep_acc_rel
LE01,connect the beer device,connect the beer device,4,6,4,,,accurate,
LE01,award his drain away,award his drain away,4,7,4,,,accurate,
LE01,mistake delight for heat,mistake a light for heat,3,8,4,,,inaccurate,
LE01,rowing farther matters,rowing farther matters,3,9,3,,,accurate,
LE01,indeed a tax ascent,indeed a tax ascent,4,10,4,,,accurate,
LE01,or spent sincere aside,for spent sincere aside,3,11,4,,,inaccurate,
LE01,submit his cash report,submit his cash report,4,12,4,,,accurate,
LE01,assume to catch control,assumed cash control,2,13,4,,,inaccurate,
LE01,butcher in the middle,butcher in the middle,4,14,4,,,accurate,
LE01,avoid or beat command,avoid or beat command,4,15,4,,,accurate,
LE01,admit the gear beyond,admit the gear beyond,4,16,4,,,accurate,
LE01,may the same pursued it,may the same pursuit,3,17,5,,,inaccurate,
LE01,rampant boasting captain,ramping boasting captain,2,18,3,,,inaccurate,
LE01,for coke a great defeat,for coke a greet defeat,4,19,5,,,inaccurate,
LE01,technique but sent result,technique besand result,2,20,4,,,inaccurate,
LE01,unseen machines agree,unseen machines agree,3,21,3,,,accurate,
LE01,career despite research,career despite research,3,22,3,,,accurate,
LE01,constant willing walker,constant willing walker,3,23,3,,,accurate,
LE01,push her equal culture,push her equal culture,4,24,4,,,accurate,
LE01,signal breakfast pilot,signal breakfast pilot,3,25,3,,,accurate,
LE01,confused but roared again,confused but roared again,4,26,4,,,accurate,
LE01,its harmful note abounds,its harmful notes abound,4,27,4,,,accurate,
LE01,remove and name for stake,remove and name for steak,5,28,5,,,accurate,
LE01,narrow seated member,nuero seated member,2,29,3,,,inaccurate,
LE01,appear to wait then turn,appear to wait then turn,5,30,5,,,accurate,
LE01,bolder ground from justice,bolder ground from justice,4,31,4,,,accurate,
LE01,target keeping season,target keep season,2,32,3,,,inaccurate,
LE01,seat for locking runners,seat for locking runners,4,33,4,,,accurate,
LE01,functions aim his acid,functions in his asin,2,34,4,,,inaccurate,
LE01,to sort but fear inside,to sort but fear inside,5,35,5,,,accurate,
LE01,rocking modern poster,rocking modern poster,3,36,3,,,accurate,
LE01,distant leaking basement,distant leaking basement,3,37,3,,,accurate,
LE01,kick a tad above them,kick a tad above them,5,38,5,,,accurate,
LE01,embark or take her sheet,embark or take her sheet,5,39,5,,,accurate,
LE01,address her meeting time,address her meeting time,4,40,4,,,accurate,
LE01,support with dock and cheer,support with dog and chair,3,41,5,,,inaccurate,
LE01,amend estate approach,ament estate approach,2,42,3,,,inaccurate,
LE01,account for who could knock,account for who could knock,5,43,5,,,accurate,
LE01,pain can follow agents,pain can follow agents,4,44,4,,,accurate,
LE01,frame her seed to answer,frame recede answer,2,45,5,,,inaccurate,
LE01,round and bad for carpet,round and bad for carpet,5,46,5,,,accurate,
LE01,beside a sunken bat,beside a sunken bat,4,47,4,,,accurate,
LE01,mark a single ladder,mark a single letter,3,48,4,,,inaccurate,
LE01,and spoke behind her sin,he spoke behind her sin,4,49,5,,,inaccurate,
LE01,spackle enter broken,spackle inter broken,2,50,3,,,inaccurate,
LE01,thinking for the hearing,thinking for the hearing,4,51,4,,,accurate,
LE01,forget the joke below,forget it the joke below,4,52,4,,,accurate,
LE01,listen final station,listen final station,3,53,3,,,accurate,
LE01,stable wrist and load it,stable wrist and load it,5,54,5,,,accurate,
LE01,had eaten junk and train,heady junk and twain,2,55,5,,,inaccurate,
LE01,attend the trend success,attend the trend success,4,56,4,,,accurate,
LE01,attack became concerned,attack became concerned,3,57,3,,,accurate,
LE01,transcend almost betrayed,transcend almost betrayed,3,58,3,,,accurate,
LE01,secure but lease apart,secure but lease apart,4,59,4,,,accurate,
LE01,pooling pill or cattle,cooling pale or cattle,2,60,4,,,inaccurate,
LE01,resting older earring,resting older earring,3,61,3,,,accurate,
LE01,divide across retreat,divide across retreat,3,62,3,,,accurate,
LE01,perceive sustained supplies,percy sustained supplies,2,63,3,,,inaccurate,
LE01,pick a chain for action,pick a chain for action,5,64,5,,,accurate,
LE01,commit such used advice,commit such used advice,4,65,4,,,accurate,
